,dis_subtype,dis_type,end_date,insur_dam,iso,location,st_date,total_affected,total_dam,total_deaths
2003-0059,--,Storm,31/01/2003,,DZA,"Alger, Beja?a, Tizi Ouzou (Kabylie), Annaba (East), Oran (West)",31/01/2003,,,13
2003-0160,Riverine flood,Flood,05/04/2003,,DZA,"Tizi Ouzou, B?ja?a, (Kabylie), Annaba, Blida, Constantine",02/04/2003,50,,15
2003-0245,Ground movement,Earthquake,21/05/2003,,DZA,"Boumerdes (Thenia, Zemmouri, Boumerdes, Dellys,Khemis El Khechna,Bordj Menaiel,Isser) Alger (Reghaia, Rouiba, Bab El Oued, Alger, Casbah, Hamma Anassers)",21/05/2003,210261,5000000,2266
2003-0255,Ground movement,Earthquake,27/05/2003,,DZA,Zemmouri,27/05/2003,200,,9
2003-0396,Riverine flood,Flood,11/08/2003,,DZA,"Reggane (Adrar region), Tamanrasset, Hidoussa (Batna region)",09/08/2003,,,13
2003-0503,Riverine flood,Flood,18/10/2003,,DZA,"Assa, Asla, Ain Sefra (Naama), Saida, Mascara (Tizi Ouzou area, Berber region)",15/10/2003,,,13
2003-0785,Heat wave,Extreme temperature ,21/07/2003,,DZA,Adrar,21/06/2003,,,40
2004-0011,Ground movement,Earthquake,10/01/2004,,DZA,"Near Alger, Boumerdes region",10/01/2004,300,,
2004-0201,Riverine flood,Flood,16/04/2004,,DZA,"Adrar, Laghouat, Oran, Gharda?a, Biskra (Timimoun region, Adrar Valley)",14/04/2004,27545,,3
2004-0567,--,Flood,14/11/2004,,DZA,North,13/11/2004,20,,19
2004-0620,Ground movement,Earthquake,01/12/2004,,DZA,Boumerdes,01/12/2004,15,,
2005-0078,--,Storm,/02/2005,,DZA,"Annaba, Cheta?bi, Kanylie, Jijel, Algiers regions",/02/2005,5,,10
2005-0095,Riverine flood,Flood,09/03/2005,,DZA,"Alisi, Adrar, Tamenraset region",06/03/2005,70,,11
2005-0324,--,Flood,20/06/2005,,DZA,Djanet,18/06/2005,1750,7256,1
2005-9345,Drought,Drought,/07/2005,,DZA,West,/04/2005,,,12
2006-0088,Riverine flood,Flood,15/02/2006,,DZA,Tindouf region,10/02/2006,60000,1200,1
2006-0149,Ground movement,Earthquake,20/03/2006,,DZA,Laalam,20/03/2006,319,,4
2007-0116,--,Flood,23/03/2007,,DZA,"Relizane, Sa?da, Oran, Annaba",21/03/2007,,,15
2007-0141,Flash flood,Flood,15/04/2007,,DZA,M\'Sila region,13/04/2007,,13561,22
2007-0344,Coastal flood,Flood,03/08/2007,,DZA,Mostgaganem,03/08/2007,,,12
2007-0353,Riverine flood,Flood,12/08/2007,,DZA,"Cha?ba, Ouled Djellal (Biskra region)",12/08/2007,102,,1
2007-0449,Flash flood,Flood,24/09/2007,,DZA,"M\'sila, Ain Defla, Tiaret, Tissemsilt, Chlef, M?d?a, Blida, Tipaza, Alger, Bourmed?s, Tizi Ouzou, Bouira, B?jaia, Jijel, Bordj Bou Arr?ridj, S?tif, Khenchela, T?bessa, Djelfa",21/09/2007,,29500,18
2007-0568,Riverine flood,Flood,02/12/2007,,DZA,"Bal El Oued, Bologhine, Bainem, Rais Hamidou, Bouzareah, Bousmail municipalities (Algiers), Dellys, Sidi Daoud (Boumerdes region), El-Hamri (Oran province), Tozi Ouzou, Tssala al-Mardja (Blida province)",24/11/2007,1203,,14
2007-0670,Forest fire,Wildfire,/09/2007,,DZA,Tzarifet,/09/2007,,,8
2008-0444,Flash flood,Flood,17/10/2008,,DZA,Ghardaia region,01/10/2008,59050,348000,93
2009-0019,Riverine flood,Flood,27/01/2009,,DZA,"Ghardaia, Tsabit, Alouef, Ouargla, Tlemcen, Ain Temouchent, Oran, Mostaganem, Medea, Alger, Boumerdes, Tizi Ouzou, Behaia",20/01/2009,2548,,33
2009-0394,Riverine flood,Flood,13/09/2009,,DZA,"M\'sila, Biskra, Laghouat regions",10/09/2009,,,15
2011-0408,Riverine flood,Flood,02/10/2011,,DZA,El-Bayadh region,01/10/2011,793,779000,10
2012-0034,Riverine flood,Flood,14/02/2012,,DZA,"Skikda, Boumerdes, Tizi-Ouzou ",03/02/2012,45,,49
2012-0441,Riverine flood,Flood,02/09/2012,,DZA,"Tebessa, Tiemcen, M\'sila, Bilda",31/08/2012,56,,20
2014-0298,Ground movement,Earthquake,01/08/2014,,DZA,"Alger, Boumerdes",01/08/2014,420,,6
2015-0437,Flash flood,Flood,17/09/2015,,DZA,"Adherdhi, Amsel villages (Tamanrasset district)",16/09/2015,,,12
2015-0482,--,Flood,28/10/2015,,DZA,Tindouf region/province,16/10/2015,25000,,
1981-9309,Drought,Drought,//1981,,AGO,"Benguela, Mocamedes, Huila, Cunene, Kuando-Kobango, Bie",/07/1981,80000,,
1985-9400,Drought,Drought,//1985,,AGO,,//1985,500000,,
1989-0039,--,Flood,/04/1989,,AGO,Kwanza province,/04/1989,100000,,
1989-9145,Drought,Drought,//1992,,AGO,"Huila, Namibe, Kwanza Sul, Benguela",/01/1989,1900000,,
1997-9239,Drought,Drought,//1998,,AGO,,/03/1997,105000,,
2000-0002,Riverine flood,Flood,15/01/2000,,AGO,"Dombre-Grande (Baia Farta-Benguela Province), Massangano ( Cambambe-Kwanza Norte Province)",08/01/2000,70000,10000,31
2000-0152,--,Flood,27/03/2000,,AGO,Caxito (Dande-Bengo province),27/03/2000,6000,,3
2000-0193,--,Flood,10/04/2000,,AGO,Porto-Amboin,10/04/2000,3000,,1
2000-0260,--,Flood,03/05/2000,,AGO,Ganda (Benguela province),03/05/2000,11,,11
2000-0657,Landslide,Landslide,09/10/2000,,AGO,"Chassuala (near Saurimo, Lunda-Sul province)",09/10/2000,,,13
2001-0021,--,Flood,15/01/2001,,AGO,Kuito (Bi? province),15/01/2001,5,,9
2001-0146,Riverine flood,Flood,09/04/2001,,AGO,"Namibe city, Macala, Lucira (Namibe), Bibala, Camacuio (Namibe province), Luacho , Senje, Muhaningo, Seco, Dombre-Grande, Canto (Baia Farta- Benguela province), Lubango,Quipongo, Caluquembe (Huila province), Namacunde, Xangongo (Ombadja), Onjiva (Cuanhama) (Cunene province), Luanda city,   Bengo province",02/04/2001,39928,,48
2001-9152,Drought,Drought,//2001,,AGO,Kwanza-Sul province,/01/2001,,,58
2002-0074,Riverine flood,Flood,06/02/2002,,AGO,Kuito (Bi? province),06/02/2002,,,8
2003-0072,Riverine flood,Flood,20/02/2003,,AGO,"Luanda, KikoloLuanda Norte, Malanje",06/02/2003,600,,9
2003-0570,Riverine flood,Flood,23/11/2003,,AGO,Uige province,22/11/2003,225,,6
2004-0019,Riverine flood,Flood,01/03/2004,,AGO,"Catata, Calenga municipalities (Caala-Huambo)",27/01/2004,331700,,27
2004-0159,Riverine flood,Flood,02/06/2004,,AGO,"Cuando Cubango, Moxico",01/02/2004,,,
2004-0661,Riverine flood,Flood,19/12/2004,,AGO,Dondo district (Kwanza Norte province),18/12/2004,2000,,1
2004-9480,Drought,Drought,//2005,,AGO,"Cunene, Cuanza provinces",/09/2004,25000,,
2005-0137,Riverine flood,Flood,28/03/2005,,AGO,"Kwanza-Norte (Dondo area, Massangano-Cambambe), Uije, Zaire, Malanje, Bengo, Huambo, Benguela, Bie provinces,  Kwando Kubango",27/01/2005,10000,,
2006-0023,Riverine flood,Flood,/01/2006,,AGO,"Huila, Benguela provinces",/01/2006,225,,
2007-0010,Riverine flood,Flood,10/05/2007,,AGO,"Cuando Cubango, Huambo, Malanje, Moxico",10/01/2007,6000,,
2007-0027,Riverine flood,Flood,25/01/2007,,AGO,"Luanda city, Cacuaco municipality (Luanda), Huambo, Bengo, Benguela, Lunda Norte provinces",17/01/2007,40000,,105
2008-0060,Riverine flood,Flood,03/03/2008,,AGO,"Ondjiva (Cuhanhama), Ombadja, Namakunde, Khama, Kuvelai, Cuanhama, Curoca municipalities(Cunene province), Menongue, Missombo, Caiundo (Menongue), Cuangar, Calai, Savate (Cuangar), Dirico, Mucusso (Dirico), Nankova, Rivungo, Mavinga, Cuito Cuaneval municipaliaties, (Kuando -Kubango province), Namibe, Huila provinces",31/01/2008,81400,,7
2009-0037,Riverine flood,Flood,16/02/2009,,AGO,Luanda,14/02/2009,415,,2
2009-0092,Riverine flood,Flood,16/04/2009,,AGO,"Mukolongondjo, Mupa, Kalonga Kubati (Cuvelai district), Onjiva, Evale, Mongua, Nehone, Chimpolo (Kwanhama district), Namacunde and Sgiede (Namacunde district), Kahama, Ombadja, Xangongo districts (Cunene province), Moxico, Cuando Bubango, Malange, Bie, Lunda Sul, Uige provinces",01/03/2009,220000,,60
2009-0550,Riverine flood,Flood,10/12/2009,,AGO,"Buco Zau, Primeiro de Maio, Quatro de Fevereiro, Terra Nova, Bata Manga, Chimbayanga (Cabinda province)",10/12/2009,4650,,
2010-0105,Riverine flood,Flood,17/03/2010,,AGO,"Luanda, Cacuaco; Mupa (Cuvelai), Evale, Ondjiva (Kwanhama district)(Cunene province); Moxico province; Benguela province (Caimbambo)",01/03/2010,110886,,7
2010-0126,Riverine flood,Flood,22/03/2010,,AGO,Ebo district (Kwanza-Sul province),21/03/2010,75000,,
2010-0553,Riverine flood,Flood,18/10/2010,,AGO,"Lunda, Uije, Huambo, Bi?, Zaire, Mocixo, Lund-Sul province",15/10/2010,3895,,18
2011-0003,Riverine flood,Flood,04/01/2011,,AGO,"Luanda, Cazenga, Sambizanga, Cacuaco, Viana, Samba",03/01/2011,,,17
2011-0092,Riverine flood,Flood,/03/2011,,AGO,"Cunene; Uige, Huambo, Benguela, Moxico, Cuando Cubango,Namibe, Lunda Sul, Lunda Norte, Malanje, Luanda, Zaire provinces",/03/2011,65084,,113
2011-0523,Riverine flood,Flood,09/01/2012,,AGO,Uige province (near border DRC region),15/12/2011,5500,,
2011-0526,Riverine flood,Flood,/12/2011,,AGO,Kuangar district (Kuando Kungabo province),/12/2011,20100,,
2012-9065,Drought,Drought,//2012,,AGO,"Bengo, Kwanza Sul, Benguela, Huila, Namibe, Cunene, Moxico, Bie, Huambo, Zaire",/03/2012,1833900,,
2013-0124,Riverine flood,Flood,07/04/2013,,AGO,Luanda,06/04/2013,1000,,9
2015-0090,--,Flood,23/03/2015,,AGO,Luanda,09/03/2015,2000,,1
2015-0091,Flash flood,Flood,23/03/2015,,AGO,"Lobito, Cacuaco, Viana districts (Belas city)",09/03/2015,1000,,69
1926-0014,Ground movement,Earthquake,26/06/1926,,EGY,Basse-Egypte,26/06/1926,,,12
1954-0034,Riverine flood,Flood,/03/1954,,EGY,,/03/1954,,,
1955-0020,Ground movement,Earthquake,12/09/1955,,EGY,Near Cairo,12/09/1955,28,,20
1975-0019,--,Flood,20/02/1975,,EGY,Nile river Valley,20/02/1975,,,15
1979-0050,Convective storm,Storm,06/05/1979,,EGY,,06/05/1979,15000,,3
1979-0091,--,Flood,/10/1979,,EGY,Upper Egypt,/10/1979,66000,14000,50
1987-0359,--,Storm,17/10/1987,,EGY,Sinai,17/10/1987,11,,30
1991-0097,Flash flood,Flood,23/03/1991,,EGY,South Sina,23/03/1991,208,,1
1992-0149,Ground movement,Earthquake,12/10/1992,,EGY,Near Fayoum (Cairo),12/10/1992,92649,1200000,552
1993-0345,Subsidence,Mass movement (dry),14/12/1993,,EGY,Mokattam (Cairo),14/12/1993,300,,34
1994-0509,Riverine flood,Flood,08/11/1994,,EGY,"Asyut, Sohag, Qena, Luxor governorates",02/11/1994,160660,140000,600
1995-0293,Ground movement,Earthquake,22/11/1995,,EGY,Cairo,22/11/1995,69,,10
1995-0354,Riverine flood,Flood,20/03/1995,,EGY,El Minja,20/03/1995,3000,,7
1995-0355,Heat wave,Extreme temperature ,12/06/1995,,EGY,Nord,12/06/1995,,,32
1996-0367,Heat wave,Extreme temperature ,07/07/1996,,EGY,,07/07/1996,,,22
1996-0464,Flash flood,Flood,18/11/1996,,EGY,"Manfalout, Minya, Sohag, Dairout, Mallawi (Aswan, Sohag, Asyut provinces)",13/11/1996,260,,12
1997-0250,--,Flood,20/10/1997,,EGY,,18/10/1997,,1000,4
1997-0331,Convective storm,Storm,02/05/1997,,EGY,Cairo,02/05/1997,60,1000,18
2000-0092,Cold wave,Extreme temperature ,/01/2000,,EGY,"Qualioub, Charqueya, Fayoum regions",/01/2000,105,,3
2002-0144,Riverine flood,Flood,11/03/2002,,EGY,Shalatein (South Hurgada),03/03/2002,800,,4
2002-0545,Ground movement,Earthquake,24/08/2002,,EGY,Cairo (Al Qahirah Province),24/08/2002,250,,
2002-0789,--,Flood,20/12/2002,,EGY,"Ayatt, Medinet al-Salaam (Huckstep bridge)",20/12/2002,70,,14
2004-0026,--,Storm,26/01/2004,,EGY,,22/01/2004,42,,13
2008-0394,Rockfall,Mass movement (dry),06/09/2008,,EGY,Manshiyet Nasser shanty twon (Cairo),06/09/2008,697,,98
2010-0021,Riverine flood,Flood,19/01/2010,,EGY,"North Sina? (Arish), South Sina? (Ras Sidr - Abou Sweira, Sharm el-Cheikh, Nuweiba, Taba, Wadi Adani) , Red Sea area (Hurgada), Aswan region",18/01/2010,3500,,12
2010-0639,Convective storm,Storm,12/12/2010,,EGY,"Alexandria, Tanta",12/12/2010,40,,31
2010-0660,Riverine flood,Flood,30/12/2010,,EGY,Haute Egypt (between Minya and Assyout),30/12/2010,,,15
2015-0342,Heat wave,Extreme temperature ,09/08/2015,,EGY,"Cairo, Marsa Matruh, Qena",09/08/2015,66,,109
1904-0003,Tropical cyclone,Storm,/11/1904,,BGD,Chittagong,/11/1904,,,
1909-0010,Tropical cyclone,Storm,15/10/1909,,BGD,Bakerganj,15/10/1909,,,172
1909-0013,Tropical cyclone,Storm,/12/1909,,BGD,West Sundarbans,/12/1909,,,
1911-0004,Tropical cyclone,Storm,/04/1911,,BGD,Teknaf,/04/1911,,,
1919-0003,Tropical cyclone,Storm,23/09/1919,,BGD,Bakerganj,23/09/1919,,,
1922-0003,Tropical cyclone,Storm,19/04/1922,,BGD,Teknaf,19/04/1922,,,
1923-0003,Tropical cyclone,Storm,07/05/1923,,BGD,"Cox\'s Bazar, Chittagong",07/05/1923,25000,,6
1926-0004,Tropical cyclone,Storm,19/05/1926,,BGD,Cox\'s Bazar,19/05/1926,,,
1937-0006,Tropical cyclone,Storm,11/10/1937,,BGD,Noakhali,11/10/1937,,,
1941-0003,Tropical cyclone,Storm,21/05/1941,,BGD,"Bhola, East Meghna estuary",21/05/1941,,,5000
1942-0008,Tropical cyclone,Storm,/10/1942,,BGD,West Sundarbans,/10/1942,,,61000
1943-9002,Drought,Drought,//1943,,BGD,,//1943,,,1900000
1947-0012,Tropical cyclone,Storm,21/10/1947,,BGD,"Cox\'s Bazar, Chittagong",21/10/1947,,,500
1947-9005,Drought,Drought,//1947,,BGD,,/07/1947,,,
1951-0036,--,Storm,/05/1951,,BGD,,/05/1951,,,200
1958-0008,Tropical cyclone,Storm,/05/1958,,BGD,East Meghna Estuary,/05/1958,,,
1958-0014,Tropical cyclone,Storm,20/10/1958,,BGD,,20/10/1958,,,500
1960-0001,--,Flood,//1960,,BGD,,//1960,,,10000
1960-0030,Tropical cyclone,Storm,09/10/1960,,BGD,"Noakhali, Off-Shore Islands",09/10/1960,,,3000
1960-0031,Tropical cyclone,Storm,30/10/1960,,BGD,"Chittagong area, Off-Shore Islands",30/10/1960,200000,,5149
1961-0004,Tropical cyclone,Storm,09/05/1961,,BGD,Megna Eestuary,09/05/1961,,11900,11000
1961-0005,Tropical cyclone,Storm,30/05/1961,,BGD,Chittagong,30/05/1961,,,
1961-0046,--,Storm,/03/1961,,BGD,,/03/1961,,,266
1963-0013,Tropical cyclone,Storm,28/05/1963,,BGD,"Chittagong, Noakhali",28/05/1963,1000000,50000,22000
1963-0069,--,Flood,/07/1963,,BGD,,/07/1963,,,30
1963-0079,Tropical cyclone,Storm,/10/1963,,BGD,,/10/1963,,,79
1964-0024,Tropical cyclone,Storm,12/04/1964,,BGD,Jessore district,12/04/1964,800,250,300
1964-0039,--,Flood,/07/1964,,BGD,"Rangpur, Comilla",/07/1964,1000000,5000,
1965-0028,Tropical cyclone,Storm,11/05/1965,,BGD,Barisal district,11/05/1965,15600000,57700,36000
1965-0034,Tropical cyclone,Storm,/06/1965,,BGD,,/06/1965,,,12047
1965-0068,Tropical cyclone,Storm,15/12/1965,,BGD,Chittagong to Teknaf,15/12/1965,60000,,874
1966-0047,--,Flood,/06/1966,,BGD,Sylhet,/06/1966,500000,1000,39
1966-0077,Tropical cyclone,Storm,01/10/1966,,BGD,"Chittagong, Sandwip",01/10/1966,1800000,22400,850
1967-0034,Tropical cyclone,Storm,02/05/1967,,BGD,Dacca,02/05/1967,200,,50
1967-0062,Tropical cyclone,Storm,/10/1967,,BGD,"South, near Cox\'s Bazar",/10/1967,,,41
1968-0040,Tropical cyclone,Storm,11/04/1968,,BGD,"Madaripur, Faridpur",11/04/1968,16138,1500,118
1968-0054,--,Flood,/07/1968,,BGD,"Nationwide, 5 Northern districts",/07/1968,15889616,199400,221
1969-0065,Tropical cyclone,Storm,14/04/1969,,BGD,"Dacca, Comilla",14/04/1969,199473,8329,849
1970-0026,--,Storm,13/04/1970,,BGD,,13/04/1970,110,,17
1970-0035,--,Flood,/07/1970,,BGD,,/07/1970,10000000,25000,
1970-0058,--,Storm,23/10/1970,,BGD,Bay of Bengal districts,23/10/1970,,,300
1970-0063,Tropical cyclone,Storm,12/11/1970,,BGD,"Khulna, Chittagong",12/11/1970,3648000,86400,300000
1971-0032,Tropical cyclone,Storm,08/05/1971,,BGD,Coastal areas,08/05/1971,,,163
1972-0026,Convective storm,Storm,02/04/1972,,BGD,Mymensingh,02/04/1972,25000,,200
1972-0041,--,Flood,25/06/1972,,BGD,Sylhet,25/06/1972,,,50
1973-0023,--,Storm,12/04/1973,,BGD,Faridpur district,12/04/1973,50000,,200
1973-0053,Tropical cyclone,Storm,09/12/1973,,BGD,South coast,09/12/1973,,,1000
1973-0123,--,Flood,/03/1973,,BGD,,/03/1973,,,427
1973-0125,--,Storm,/04/1973,,BGD,,/04/1973,,,700
1973-0130,--,Flood,/08/1973,,BGD,,/08/1973,,,
1974-0034,--,Flood,/07/1974,,BGD,,/07/1974,38000000,579200,28700
1974-0042,Tropical cyclone,Storm,/08/1974,,BGD,,/08/1974,,,2500
1974-0059,Tropical cyclone,Storm,28/11/1974,,BGD,"Coastal areas,  off-shore Islands",28/11/1974,,,
1974-0147,--,Storm,/03/1974,,BGD,,/03/1974,,,300
1974-9049,Drought,Drought,//1974,,BGD,Northwest,/10/1974,,,
1976-0034,Convective storm,Storm,10/04/1976,,BGD,Faridpur district,10/04/1976,200,,46
1976-0041,--,Flood,15/06/1976,,BGD,Easr,15/06/1976,4000000,,168
1976-0133,Convective storm,Storm,09/05/1976,,BGD,Dhamgarh (near Dacca),09/05/1976,,201,1
1977-0054,--,Storm,01/04/1977,,BGD,Madaripur,01/04/1977,10000,50000,600
1977-0060,Tropical cyclone,Storm,24/04/1977,,BGD,Mymensingh district,24/04/1977,100,,13
1977-0110,--,Flood,/09/1977,,BGD,Brahmaputra Valley,/09/1977,200000,,5
1977-0124,Convective storm,Storm,06/10/1977,,BGD,,06/10/1977,500,,21
1977-0125,--,Flood,13/10/1977,,BGD,,13/10/1977,13650,,8
1978-0051,--,Storm,09/04/1978,,BGD,Bay of Bengal,09/04/1978,,,1000
1978-0068,--,Storm,05/05/1978,,BGD,Jessore district,05/05/1978,100,,30
1978-0097,Riverine flood,Flood,/08/1978,,BGD,Western,/08/1978,400000,,17
1979-0048,Tropical cyclone,Storm,02/05/1979,,BGD,Eastern,02/05/1979,150,,3
1979-0078,Tropical cyclone,Storm,17/08/1979,,BGD,South coast,17/08/1979,,,50
1979-9270,Drought,Drought,//1979,,BGD,"Chittagong, Rangpur Mymenshingh region",/06/1979,2000,,18
1980-0038,Tropical cyclone,Storm,/04/1980,,BGD,,/04/1980,1050,,11
1980-0073,--,Flood,/08/1980,,BGD,North Western,/08/1980,10000000,150000,655
1981-0042,Convective storm,Storm,15/04/1981,,BGD,Noakhali district,15/04/1981,12000,,70
1981-0108,Tropical cyclone,Storm,11/12/1981,,BGD,,11/12/1981,2000000,,1000
1981-0274,Tropical cyclone,Storm,06/03/1981,,BGD,Comilla,06/03/1981,25000,,15
1982-0100,--,Flood,07/09/1982,,BGD,"Rajshahi, Kushtia",07/09/1982,308000,,
1982-9350,Drought,Drought,//1983,,BGD,,/07/1983,20000000,,
1983-0056,Tropical cyclone,Storm,21/03/1983,,BGD,South,21/03/1983,150,,6
